game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,12.0,6.0,12.0,21.0,13.0,30.0,1166.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,9.0,9.0,7.0,36.0,1343.0,3.0
