game_id,date,season,week,league,away,home,assist_tackles,lost_fumbles,solo_tackles,tackles
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,1.0,,3.0,4.0
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,2.0,,6.0,8.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,2.0,,6.0,8.0
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,6.0,,9.0,15.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,3.0,,7.0,10.0
SYNTHETIC_USFL_2022_W5_PHI,,2022,5,USFL,,,,0.0,,
SYNTHETIC_USFL_2022_W8_PHI,,2022,8,USFL,,,,0.0,,
SYNTHETIC_USFL_2022_W9_PHI,,2022,9,USFL,,,,0.0,,
