game_id,date,season,week,league,away,home,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,9.0,58.0,12.0,1.0,38.0,4.0,37.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,,13.0,60.0,12.0,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,1.0,8.0,33.0,12.0,14.0,368.0,,
