game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,int_avg,int_long,int_yards,pass_defended,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,1.0,0.0,,2.0,,
FOOTBALL_NAL_2025_4_19_T425356G979270@T425362,2025-04-19,2025,7,NAL,Carolina Cobras,Wheeling Miners,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,6.0,,
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,2.0,1.0,0.0,1.0,1.0,,0.0,0.0,,,,,0.0,0.0,,4.0,,
FOOTBALL_AF1_2026_4_12_T606163G1168202@T584747,2026-04-12,2026,1,AF1,Michigan Arsenal,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,3.0,,
FOOTBALL_AF1_2026_4_17_T606163G1168206@T584637,2026-04-18,2026,2,AF1,Michigan Arsenal,Nashville Kats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,2.0,,
FOOTBALL_AF1_2026_4_25_T602555G1168209@T606163,2026-04-25,2026,3,AF1,Minnesota Monsters,Michigan Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,4.0,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,1.0,1.0,,,0.0,,,,8.0,8.0,8.0,1.0,,,4.0,5.0,,
FOOTBALL_AF1_2026_5_2_T584638G1168213@T606163,2026-05-02,2026,4,AF1,Oregon Lightning,Michigan Arsenal,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,
FOOTBALL_AF1_2026_5_9_T602555G1168217@T606163,2026-05-09,2026,5,AF1,Minnesota Monsters,Michigan Arsenal,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,,,3.0,,
FOOTBALL_IFL_2026_4_12_TJACKSONVILLESHARKSG20260412GKF3@TVEGASKNIGHTHAWKS,2026-04-12,2026,5,IFL,Jacksonville Sharks,Vegas Knight Hawks,2.0,,,,,,,,,,,1.0,,,1.0,3.0,,
FOOTBALL_AF1_2026_5_16_T584635G1168219@T606163,2026-05-16,2026,6,AF1,Albany Firebirds,Michigan Arsenal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,6.0,,
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,0.0,,,,,,1.0,,,,,1.0,,,7.0,7.0,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,1.0,1.0,,,0.0,,,,5.0,5.0,5.0,,,,2.0,3.0,,
FOOTBALL_IFL_2026_5_2_TNEWMEXICOCHUPACABRASG20260502IFQJ@TJACKSONVILLESHARKS,2026-05-02,2026,8,IFL,New Mexico Chupacabras,Jacksonville Sharks,4.0,,,,,,,,,,,1.0,,,7.0,11.0,,
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,5.0,,,,,,,,,,,3.0,,,3.0,8.0,0.5,0.0
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,3.0,,,,,,,,,,,,,,0.0,3.0,,
FOOTBALL_IFL_2026_5_22_TJACKSONVILLESHARKSG20260522TJEW@TIOWABARNSTORMERS,2026-05-22,2026,11,IFL,Jacksonville Sharks,Iowa Barnstormers,1.0,,,,,,,,,,,,,,1.0,2.0,,
