game_id,date,season,week,league,away,home,def_solo,def_tot,ret_lg,ret_num,ret_td,ret_yds,score_kr,score_pts,score_tot
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,47.0,3.0,,78.0,,,
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,,,29.0,6.0,,124.0,,,
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,2.0,2.0,27.0,1.0,,27.0,,,
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,18.0,2.0,,26.0,,,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,42.0,1.0,,42.0,,,
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,,26.0,3.0,,65.0,,,
FOOTBALL_CFL_2022_6_18_CGY@HAM,2022-06-18,2022,1,CFL,CGY,HAM,,,28.0,3.0,,68.0,,,
FOOTBALL_CFL_2022_6_24_HAM@WPG,2022-06-24,2022,1,CFL,HAM,WPG,,,46.0,3.0,,94.0,,,
FOOTBALL_CFL_2022_7_16_OTT@HAM,2022-07-16,2022,1,CFL,OTT,HAM,1.0,1.0,35.0,1.0,,35.0,,,
FOOTBALL_CFL_2022_7_1_EDM@HAM,2022-07-01,2022,1,CFL,EDM,HAM,,,4.0,1.0,1.0,4.0,1.0,6.0,1.0
FOOTBALL_CFL_2022_7_21_HAM@BC,2022-07-21,2022,1,CFL,HAM,BC,,,32.0,3.0,,76.0,,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,9.0,1.0,,9.0,,,
FOOTBALL_CFL_2022_8_12_TOR@HAM,2022-08-12,2022,1,CFL,TOR,HAM,,,27.0,3.0,,69.0,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,21.0,3.0,,46.0,,,
FOOTBALL_CFL_2022_8_6_HAM@TOR,2022-08-06,2022,1,CFL,HAM,TOR,,,22.0,4.0,,78.0,,,
