game_id,date,season,week,league,away,home,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,recv_lg,recv_rec,recv_tar,recv_yds,ret_lg,ret_num,ret_ret,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,,1.0,3.0,,3.0,,,,,
FOOTBALL_CFL_2018_10_19_HAM@OTT,2018-10-19,2018,1,CFL,HAM,OTT,,,,,,,,,,,,,,,,,,,,3.0,2.0,,4.0,,,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,5.0,3.0,,37.0,5.0,1.0,,77.0,,,,,,,,,,,3.0,2.0,1.0,3.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,37.0,22.0,2.0,46.0,2.0,1.0,2.0,315.0,,,,,,,,,,,7.0,14.0,,24.0,,,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,3.0,3.0,,41.0,,,,52.0,,,,,,,,,,,1.0,3.0,,3.0,,,,,
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,2.0,1.0,,16.0,,,,16.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,,41.0,32.0,1.0,,21.0,3.0,1.0,452.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,36.0,29.0,1.0,,7.0,1.0,4.0,379.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_4_EDM@HAM,2019-10-04,2019,1,CFL,EDM,HAM,,32.0,24.0,,47.0,22.0,3.0,2.0,277.0,,,,,,,,,,,2.0,14.0,,22.0,,,,,
FOOTBALL_CFL_2019_11_17_EDM@HAM,2019-11-17,2019,1,CFL,EDM,HAM,,36.0,21.0,1.0,48.0,9.0,1.0,1.0,386.0,,,,,,,,,,,1.0,4.0,,4.0,,,,,
FOOTBALL_CFL_2019_11_24_HAM@WPG,2019-11-24,2019,1,CFL,HAM,WPG,,27.0,16.0,2.0,35.0,57.0,6.0,1.0,203.0,,,,,,,,,,,4.0,6.0,,12.0,,,,,
FOOTBALL_CFL_2019_6_22_HAM@TOR,2019-06-22,2019,1,CFL,HAM,TOR,,6.0,5.0,,,,,1.0,105.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_6_28_MTL@HAM,2019-06-28,2019,1,CFL,MTL,HAM,,,,,,,,,,,,,,,,,,,,4.0,,1.0,-7.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2019_7_26_WPG@HAM,2019-07-26,2019,1,CFL,WPG,HAM,,25.0,13.0,1.0,22.0,3.0,1.0,,94.0,,,,,,,,,,,2.0,7.0,1.0,8.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_8_10_BC@HAM,2019-08-10,2019,1,CFL,BC,HAM,,32.0,23.0,,,,,2.0,260.0,,,,,1.0,,,,,,4.0,6.0,,16.0,,,,,
FOOTBALL_CFL_2019_8_17_HAM@OTT,2019-08-17,2019,1,CFL,HAM,OTT,,39.0,24.0,2.0,38.0,2.0,1.0,1.0,299.0,,,,,,,,,,,1.0,3.0,,3.0,,,,,
FOOTBALL_CFL_2019_8_1_HAM@SSK,2019-08-01,2019,1,CFL,HAM,SSK,,29.0,19.0,1.0,36.0,12.0,3.0,1.0,196.0,,,13.0,1.0,1.0,13.0,,,,,4.0,19.0,,35.0,,,,,
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,,31.0,17.0,2.0,25.0,2.0,1.0,,194.0,,,,,,,,,,,3.0,4.0,,8.0,,,,,
FOOTBALL_CFL_2019_9_14_HAM@CGY,2019-09-14,2019,1,CFL,HAM,CGY,,43.0,34.0,1.0,36.0,10.0,2.0,1.0,360.0,,,,,,,,,,,3.0,9.0,,9.0,,,,,
FOOTBALL_CFL_2019_9_20_HAM@EDM,2019-09-20,2019,1,CFL,HAM,EDM,,30.0,22.0,1.0,,35.0,4.0,3.0,336.0,,,,,,,,,,,3.0,5.0,,8.0,,,,,
FOOTBALL_CFL_2019_9_27_HAM@WPG,2019-09-27,2019,1,CFL,HAM,WPG,,32.0,25.0,1.0,52.0,-1.0,1.0,3.0,359.0,,,,,,,,,,,3.0,13.0,,16.0,,,,,
FOOTBALL_CFL_2019_9_2_TOR@HAM,2019-09-02,2019,1,CFL,TOR,HAM,,37.0,31.0,2.0,36.0,41.0,7.0,2.0,442.0,,,,,,,,,,,4.0,16.0,1.0,42.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2021_10_23_OTT@HAM,2021-10-23,2021,1,CFL,OTT,HAM,,3.0,1.0,,17.0,6.0,1.0,,17.0,,,,,,,,,,,3.0,,2.0,3.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,,,,,,,,,,,,,,,,1.0,4.0,,4.0,,,,,
FOOTBALL_CFL_2021_11_12_HAM@TOR,2021-11-12,2021,1,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,16.0,10.0,2.0,28.0,,,1.0,126.0,,,,,,,25.0,1.0,1.0,25.0,4.0,23.0,,33.0,,,,,
FOOTBALL_CFL_2021_11_5_BC@HAM,2021-11-05,2021,1,CFL,BC,HAM,,,,,,,,,,,,,,,,,,,,2.0,5.0,,7.0,,,,,
FOOTBALL_CFL_2021_12_12_WPG@HAM,2021-12-12,2021,1,CFL,WPG,HAM,,9.0,4.0,1.0,13.0,6.0,1.0,,24.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_12_5_HAM@TOR,2021-12-05,2021,1,CFL,HAM,TOR,,16.0,16.0,,47.0,27.0,4.0,1.0,249.0,,,,,,,,,,,6.0,6.0,2.0,14.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2021_8_14_HAM@SSK,2021-08-14,2021,1,CFL,HAM,SSK,,10.0,3.0,,11.0,6.0,2.0,,21.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_27_HAM@MTL,2021-08-27,2021,1,CFL,HAM,MTL,,22.0,15.0,,37.0,35.0,6.0,2.0,183.0,,,,,,,,,,,4.0,9.0,,24.0,,,,,
FOOTBALL_CFL_2021_9_10_HAM@TOR,2021-09-10,2021,1,CFL,HAM,TOR,,27.0,19.0,1.0,,18.0,4.0,1.0,192.0,,,,,,,,,,,3.0,19.0,,32.0,,,,,
FOOTBALL_CFL_2021_9_6_TOR@HAM,2021-09-06,2021,1,CFL,TOR,HAM,,29.0,21.0,,,23.0,3.0,2.0,248.0,,,,,,,,,,,2.0,8.0,,10.0,,,,,
SYNTHETIC_CFL_2022_W1_HAM,,2022,1,CFL,,,2.0,,,,,,,,,1.0,222.0,,,,,,,,,,,,,0.0,1.0,,,
SYNTHETIC_CFL_2022_W3_HAM,,2022,3,CFL,,,2.0,,,,,,,,,0.0,237.0,,,,,,,,,,,,,0.0,3.0,,,
SYNTHETIC_CFL_2022_W4_HAM,,2022,4,CFL,,,2.0,,,,,,,,,1.0,197.0,,,,,,,,,,,,,0.0,39.0,,,
6233,2022-07-16,2022,6,CFL,OTT,HAM,0.0,,,,,,,,,2.0,342.0,,,,,,,,,,,,,0.0,10.0,,,
6235,2022-07-21,2022,7,CFL,HAM,BC,1.0,,,,,,,,,1.0,297.0,,,,,,,,,,,,,0.0,24.0,,,
6238,2022-07-28,2022,8,CFL,MTL,HAM,0.0,,,,,,,,,1.0,206.0,,,,,,,,,,,,,0.0,6.0,,,
6244,2022-08-06,2022,9,CFL,HAM,TOR,1.0,,,,,,,,,1.0,303.0,,,,,,,,,,,,,0.0,10.0,,,
6267,2022-09-17,2022,15,CFL,WPG,HAM,0.0,,,,,,,,,5.0,327.0,,,,,,,,,,,,,0.0,19.0,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,0.0,,,,,,,,,0.0,288.0,,,,,,,,,,,,,0.0,9.0,,,
