game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2022_SEASON_TOTAL,,,1,,,,7.0,,,18.0,6.0,,8.0,,13.0,,,
NLL_2023_SEASON_TOTAL,,,1,,,,18.0,,,18.0,9.0,,4.0,,27.0,1.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0
