game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,rushing_tds,rushing_yards
SALINA-CORPUS,,,1,,,,1.0,0.0,35.0,0.0,1.0
WASHINGTON-BILLINGS-0403,0403,,3,,WASHINGTON,BILLINGS,0.0,0.0,0.0,,
