game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,tackles
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,28.0,4.0,
9889292,2023-06-23,2023,3,CFL,MTL,HAM,,57.0,6.0,
9889302,2023-07-13,2023,6,CFL,HAM,EDM,,61.0,4.0,
9889310,2023-07-28,2023,8,CFL,HAM,OTT,,71.0,5.0,
9889316,2023-08-05,2023,9,CFL,MTL,HAM,,89.0,6.0,
9889328,2023-08-26,2023,12,CFL,HAM,BC,,29.0,2.0,
9889332,2023-09-04,2023,13,CFL,TOR,HAM,2.0,50.0,6.0,
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,10.0,2.0,
9889340,2023-09-16,2023,15,CFL,WPG,HAM,1.0,61.0,4.0,
9889345,2023-09-23,2023,16,CFL,HAM,TOR,1.0,48.0,6.0,
9889349,2023-09-30,2023,17,CFL,CGY,HAM,1.0,28.0,1.0,
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,71.0,2.0,
9889354,2023-10-13,2023,19,CFL,BC,HAM,1.0,64.0,6.0,1.0
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,56.0,3.0,
