game_id,date,season,week,league,away,home,award_mvp
FOOTBALL_XLEAGUE_2003_SEASON_TOTAL,,2003,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2006_SEASON_TOTAL,,2006,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2008_SEASON_TOTAL,,2008,1,XLEAGUE,,,1.0
