game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W1_SHOWBOATS,,2024,1,UFL,,,,,,0.0,43.0,7.0,0.0,15.0
SYNTHETIC_UFL_2024_W2_SHOWBOATS,,2024,2,UFL,,,,,,1.0,58.0,6.0,,
SYNTHETIC_UFL_2024_W3_SHOWBOATS,,2024,3,UFL,,,,,,0.0,13.0,2.0,0.0,2.0
SYNTHETIC_UFL_2024_W4_SHOWBOATS,,2024,4,UFL,,,,,,0.0,16.0,2.0,,
SYNTHETIC_UFL_2024_W5_SHOWBOATS,,2024,5,UFL,,,,,1.0,1.0,101.0,6.0,,
SYNTHETIC_UFL_2024_W6_SHOWBOATS,,2024,6,UFL,,,,,,0.0,43.0,5.0,,
SYNTHETIC_UFL_2024_W7_SHOWBOATS,,2024,7,UFL,,,,,,1.0,83.0,7.0,,
SYNTHETIC_UFL_2024_W8_SHOWBOATS,,2024,8,UFL,,,,,,2.0,86.0,3.0,,
SYNTHETIC_UFL_2024_W9_SHOWBOATS,,2024,9,UFL,,,,,,0.0,3.0,1.0,,
SYNTHETIC_UFL_2024_W10_SHOWBOATS,,2024,10,UFL,,,1.0,,,0.0,0.0,2.0,,
SYNTHETIC_UFL_2025_W7_SHOWBOATS,,2025,7,UFL,,,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2025_W8_SHOWBOATS,,2025,8,UFL,,,,1.0,,0.0,0.0,0.0,0.0,3.0
SYNTHETIC_UFL_2025_W9_SHOWBOATS,,2025,9,UFL,,,,,,0.0,5.0,1.0,,
SYNTHETIC_UFL_2025_W10_SHOWBOATS,,2025,10,UFL,,,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2026_W1_BIRMINGHAMSTALLIONS,,2026,1,UFL,,,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2026_W2_BIRMINGHAMSTALLIONS,,2026,2,UFL,,,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2026_W4_BIRMINGHAMSTALLIONS,,2026,4,UFL,,,,,,0.0,10.0,2.0,,
SYNTHETIC_UFL_2026_W5_BIRMINGHAMSTALLIONS,,2026,5,UFL,,,,,,0.0,57.0,3.0,,
