game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,ret_lg,ret_num,ret_yds,rushing_tds,rushing_yards
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,,26.0,1.0,26.0,,
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,,30.0,6.0,144.0,,
6248,2022-08-13,2022,10,CFL,BC,CGY,0.0,35.0,6.0,,,,0.0,37.0
6288,2022-10-28,2022,21,CFL,BC,WPG,0.0,25.0,2.0,,,,0.0,30.0
