game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,,,,,,7.0,1.0,1.0,,1.0,7.0,,,
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,,,,,,9.0,1.0,2.0,,6.0,9.0,,,
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,,,,,,1.0,1.0,1.0,,,1.0,,,
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,1.0,1.0,,,,17.0,2.0,5.0,,8.0,23.0,,,
FOOTBALL_CFL_2021_10_23_BC@WPG,2021-10-23,2021,1,CFL,BC,WPG,,,,,,,,1.0,,,,,,
FOOTBALL_CFL_2021_10_30_BC@TOR,2021-10-30,2021,1,CFL,BC,TOR,,,,,,,1.0,4.0,1.0,25.0,32.0,1.0,6.0,1.0
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,,,,19.0,3.0,5.0,,21.0,30.0,,,
FOOTBALL_CFL_2021_8_28_BC@OTT,2021-08-28,2021,1,CFL,BC,OTT,,,,,,,,1.0,,,,,,
FOOTBALL_CFL_2021_9_11_OTT@BC,2021-09-11,2021,1,CFL,OTT,BC,1.0,1.0,,,,,,,,,,,,
6239,2022-07-29,2022,8,CFL,BC,SSK,,,0.0,44.0,4.0,,,,,,,,,
6273,2022-09-30,2022,17,CFL,OTT,BC,,,0.0,25.0,1.0,,,,,,,,,
6277,2022-10-08,2022,18,CFL,BC,TOR,,,0.0,37.0,3.0,,,,,,,,,
6285,2022-10-21,2022,20,CFL,BC,EDM,,,0.0,18.0,1.0,,,,,,,,,
