game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,8.0,11.0,6.0,,30.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,13.0,12.0,1.0,216.0
