game_id,date,season,week,league,away,home,fumble_recoveries,interceptions_made,lost_fumbles,pass_defended,sacks,tackles
SYNTHETIC_USFL_W2_HOU,,,2,USFL,,,,,0.0,,,
SYNTHETIC_USFL_W3_HOU,,,3,USFL,,,,,0.0,,,
SYNTHETIC_USFL_W7_HOU,,,7,USFL,,,,,0.0,,,
SYNTHETIC_USFL_W10_HOU,,,10,USFL,,,,,1.0,,,
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,HOU,ORL,1.0,,,2.0,,1.0
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,,1.0,,4.0
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,,,4.0
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,1.0,,,1.0,,2.0
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,1.0,,,0.5,3.0
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,1.0,,4.0
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,,,,4.0
