game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mlsnp-2022-KPqjwN4Q6v,,2022,1,MLSNP,,,0.0,0.0,9.1428,4.7054,0.0,-0.107,0.0,0.0,18.0,0.4,5.0,-1.4707,-29.4148,0.0,1.0,1.0,0.0,0.107,0.4196,0.107,0.6941,0.0003
soccer-mlsnp-2023-KPqjwN4Q6v,,2023,1,MLSNP,,,2.0,-2.7829,21.0314,5.4432,5.0,1.4716,7.0,35.0,1599.0,0.623,557.0,-24.4096,-4.3823,0.5887,31.0,14.0,4.7829,3.5284,0.0316,8.3113,0.6668,1.3539
soccer-mlsnp-2024-KPqjwN4Q6v,,2024,1,MLSNP,,,4.0,0.1291,21.1911,5.0706,3.0,-0.726,7.0,38.0,1820.0,0.6593,637.0,-11.8965,-1.8676,0.1444,45.0,14.0,3.8709,3.726,-1.3507,7.597,0.678,1.3429
soccer-mls-2025-9z5k7Yg5A3,,2025,1,MLS,,,0.0,0.0,21.7684,1.3882,0.0,0.0,0.0,0.0,24.0,0.9091,11.0,0.6374,5.7944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8511,0.0
soccer-mls-2025-zeQZBOzQKw,,2025,1,MLS,,,0.0,-0.1352,13.9819,-0.022,0.0,-0.1939,0.0,2.0,204.0,0.7407,81.0,-5.426,-6.6988,0.0,1.0,0.0,0.1352,0.1939,-0.1939,0.3291,0.8077,0.1828
soccer-mlsnp-2025-KPqjwN4Q6v,,2025,1,MLSNP,,,1.0,-1.1605,20.8817,6.6713,2.0,0.0452,3.0,27.0,1316.0,0.7239,746.0,-17.8951,-2.3988,0.005,27.0,7.0,2.1605,1.9548,0.089,4.1153,0.7478,1.14
soccer-mls-2026-zeQZBOzQKw,,2026,1,MLS,,,0.0,-0.7278,14.6156,-1.4054,0.0,-1.226,0.0,4.0,576.0,0.8118,255.0,-1.6471,-0.6459,0.0,7.0,2.0,0.7278,1.226,-0.3879,1.9538,0.8182,0.7426
