game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,1.0,11.0,1.0,8.0,2.0,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,,16.0,2.0,14.0,2.0,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,4.0,17.0,,12.0,4.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,5.0,14.0,,10.0,5.0,1.0
