game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2019_SEASON_TOTAL,,,1,,,,28.0,14.0,14.0,6.0,42.0,,,
NLL_2021_SEASON_TOTAL,,,1,,,,22.0,18.0,21.0,2.0,43.0,,,
NLL_2022_SEASON_TOTAL,,,1,,,,39.0,18.0,34.0,9.0,73.0,6.0,5.0,2.0
NLL_2023_SEASON_TOTAL,,,1,,,,25.0,16.0,17.0,2.0,42.0,9.0,3.0,2.0
