game_id,date,season,week,league,away,home,punt_avg,punt_long,punt_tb,punt_yards,punts,punts_blocked,punts_in20,rush_attempts,rushing_tds,rushing_yards
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,43.0,50.0,1.0,86.0,2.0,0.0,1.0,,,
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,41.0,44.0,1.0,123.0,3.0,0.0,0.0,,,
FOOTBALL_AAF_2019_3_2_SD@MEM,2019-03-02,2019,4,AAF,SD,MEM,47.7,56.0,1.0,143.0,3.0,0.0,0.0,1.0,0.0,-4.0
FOOTBALL_AAF_2019_3_9_SL@SD,2019-03-09,2019,5,AAF,SL,SD,46.0,51.0,1.0,230.0,5.0,0.0,0.0,,,
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,42.5,56.0,0.0,255.0,6.0,0.0,3.0,,,
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,46.2,53.0,0.0,185.0,4.0,0.0,3.0,,,
FOOTBALL_AAF_2019_3_30_SD@SL,2019-03-30,2019,8,AAF,SD,SL,41.4,53.0,1.0,290.0,7.0,0.0,3.0,,,
