game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,58.0,,,18.0,38.0,,4.0,,96.0,15.0,5.0,1.0,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,4.0,4.0,4.0,,2.0,4.0,,4.0,,,,,4.0,4.0
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0
