game_id,date,season,week,league,away,home,conversions,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks,safety
1-roughnecks-guardians,2023-02-18,2023,1,XFL,GUARDIANS,ROUGHNECKS,,,1.0,3.0,12.0,7.0,
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,,,1.0,2.0,14.0,5.0,
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,,,1.0,13.0,1.0,
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,,1.0,2.0,,16.0,4.0,
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,,3.0,,2.0,
SYNTHETIC_XFL_2023_W5_ROUGHNECKS,2023-03-16,2023,5,XFL,SEA DRAGONS,ROUGHNECKS,,,1.0,,21.0,,
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,,,1.0,
SYNTHETIC_XFL_2023_W6_ROUGHNECKS,2023-03-27,2023,6,XFL,DEFENDERS,ROUGHNECKS,,,,,31.0,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,2.0,,,3.0,
SYNTHETIC_XFL_2023_W7_ROUGHNECKS,2023-04-02,2023,7,XFL,ROUGHNECKS,BATTLEHAWKS,,1.0,,,24.0,,
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,2.0,,6.0,
SYNTHETIC_XFL_2023_W8_ROUGHNECKS,2023-04-09,2023,8,XFL,BRAHMAS,ROUGHNECKS,,,,,15.0,,
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,2.0,,,4.0,
SYNTHETIC_XFL_2023_W9_ROUGHNECKS,2023-04-15,2023,9,XFL,ROUGHNECKS,VIPERS,,2.0,,,21.0,,
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,,1.0,,2.0,
SYNTHETIC_XFL_2023_W10_ROUGHNECKS,2023-04-23,2023,10,XFL,RENEGADES,ROUGHNECKS,,1.0,,,9.0,,
4,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,,1.0,0.0,12.0,0.0,
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,1.0,,1.0,23.0,2.0,
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,,,,0.0,34.0,0.0,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,,1.0,1.0,9.0,2.0,
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,,,0.0,32.0,2.0,
22,2024-05-04,2024,6,UFL,BATTLEHAWKS,ROUGHNECKS,,,,1.0,22.0,2.0,1.0
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,,3.0,1.0,15.0,2.0,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,,1.0,1.0,35.0,0.0,
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,,,2.0,26.0,0.0,
40,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,,,1.0,19.0,1.0,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,,0.0,31.0,1.0,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,1.0,0.0,11.0,3.0,
52,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,,1.0,1.0,2.0,17.0,1.0,
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,1.0,1.0,23.0,0.0,
61,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,1.0,,2.0,3.0,4.0,
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,1.0,1.0,1.0,20.0,1.0,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,1.0,,1.0,33.0,2.0,
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,,0.0,24.0,2.0,
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,1.0,,2.0,0.0,21.0,0.0,
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,1.0,2.0,2.0,12.0,2.0,
