game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,,,,11.0,1.0,1.0,,8.0,11.0,,,
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,,25.0,2.0,5.0,,6.0,35.0,,,
FOOTBALL_CFL_2016_9_5_EDM@CGY,2016-09-05,2016,1,CFL,EDM,CGY,,,,5.0,1.0,1.0,,1.0,5.0,,,
FOOTBALL_CFL_2017_10_13_CGY@HAM,2017-10-13,2017,1,CFL,CGY,HAM,,,,41.0,1.0,2.0,,4.0,41.0,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,20.0,1.0,4.0,,4.0,20.0,,,
FOOTBALL_CFL_2017_10_28_CGY@EDM,2017-10-28,2017,1,CFL,CGY,EDM,,,,9.0,1.0,2.0,,5.0,9.0,,,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,11.0,4.0,5.0,,17.0,33.0,,,
FOOTBALL_CFL_2017_6_23_CGY@OTT,2017-06-23,2017,1,CFL,CGY,OTT,,,,12.0,2.0,2.0,,5.0,21.0,,,
FOOTBALL_CFL_2017_7_14_CGY@MTL,2017-07-14,2017,1,CFL,CGY,MTL,,,,10.0,1.0,1.0,,8.0,10.0,,,
FOOTBALL_CFL_2017_7_7_CGY@WPG,2017-07-07,2017,1,CFL,CGY,WPG,,,,,,1.0,,,,,,
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,,,,11.0,2.0,2.0,,4.0,19.0,,,
FOOTBALL_CFL_2017_9_16_BC@CGY,2017-09-16,2017,1,CFL,BC,CGY,,,,24.0,2.0,2.0,,10.0,41.0,,,
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,,,,15.0,3.0,4.0,,4.0,27.0,,,
FOOTBALL_CFL_2017_9_4_EDM@CGY,2017-09-04,2017,1,CFL,EDM,CGY,,,,15.0,1.0,1.0,,,15.0,,,
FOOTBALL_CFL_2017_9_9_CGY@EDM,2017-09-09,2017,1,CFL,CGY,EDM,,,,36.0,5.0,7.0,,19.0,57.0,,,
FOOTBALL_CFL_2019_6_15_OTT@CGY,2019-06-15,2019,1,CFL,OTT,CGY,,,,,4.0,5.0,1.0,8.0,68.0,1.0,6.0,1.0
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,,,,2.0,,,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,,,5.0,5.0,2.0,38.0,64.0,2.0,12.0,2.0
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,,,30.0,2.0,2.0,,,36.0,,,
FOOTBALL_CFL_2021_11_12_HAM@TOR,2021-11-12,2021,1,CFL,HAM,TOR,,,,13.0,1.0,2.0,,10.0,13.0,,,
FOOTBALL_CFL_2021_11_6_TOR@OTT,2021-11-06,2021,1,CFL,TOR,OTT,,,,8.0,2.0,2.0,,6.0,11.0,,,
FOOTBALL_CFL_2021_12_5_HAM@TOR,2021-12-05,2021,1,CFL,HAM,TOR,,,,21.0,4.0,7.0,,19.0,46.0,,,
FOOTBALL_CFL_2021_8_13_TOR@WPG,2021-08-13,2021,1,CFL,TOR,WPG,,,,11.0,1.0,3.0,,4.0,11.0,,,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,,,,1.0,4.0,1.0,,9.0,1.0,6.0,1.0
FOOTBALL_CFL_2022_10_29_MTL@TOR,2022-10-29,2022,1,CFL,MTL,TOR,,,,,5.0,6.0,1.0,14.0,48.0,1.0,6.0,1.0
FOOTBALL_CFL_2022_8_20_CGY@TOR,2022-08-20,2022,1,CFL,CGY,TOR,,,,5.0,1.0,1.0,,,5.0,,,
6253,2022-08-20,2022,11,CFL,CGY,TOR,0.0,5.0,1.0,,,,,,,,,
9889286,2023-06-11,2023,1,CFL,SSK,EDM,0.0,1.0,1.0,,,,,,,,,
9889288,2023-06-16,2023,2,CFL,WPG,SSK,0.0,29.0,2.0,,,,,,,,,
9889336,2023-09-09,2023,14,CFL,SSK,WPG,0.0,6.0,1.0,,,,,,,,,
