game_id,date,season,week,league,away,home,fumble_recoveries,receiving_tds,receiving_yards,receptions
5pr1v6tabjsekhe4,2026-05-02,2026,1,50 Yard,San Antonio Gunslingers,Tucson Sugar Skulls,0.0,1.0,73.0,
SYNTHETIC_50YARD_2026_W3_SANANTONIOGUNSLINGERS,2026-05-16,2026,3,50YARD,SAN DIEGO STRIKE FORCE,SAN ANTONIO GUNSLINGERS,,2.0,147.0,4.0
