game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pr,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,,,,,,,,,28.0,6.0,,110.0,1.0,10.0,,10.0,,,,,
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,15.0,1.0,1.0,,15.0,15.0,25.0,3.0,,66.0,2.0,4.0,,3.0,,,,,
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,,,18.0,1.0,1.0,,15.0,18.0,20.0,2.0,,34.0,1.0,4.0,,4.0,,,,,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,8.0,1.0,1.0,,5.0,8.0,70.0,3.0,,112.0,3.0,7.0,,11.0,,,,,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,,,,,,,29.0,3.0,,66.0,2.0,5.0,,2.0,,,,,
FOOTBALL_CFL_2016_11_5_MTL@HAM,2016-11-05,2016,1,CFL,MTL,HAM,,,21.0,1.0,1.0,,16.0,21.0,24.0,2.0,1.0,38.0,3.0,5.0,,10.0,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,,,,,,,28.0,2.0,,44.0,,,,,,,,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,,,,,,,,25.0,4.0,,53.0,,,,,,,,,
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,,,,,,,,,26.0,2.0,,52.0,,,,,,,,,
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,,,1.0,1.0,1.0,,1.0,1.0,41.0,3.0,,93.0,2.0,7.0,,12.0,,,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,,,,,,,36.0,2.0,,62.0,2.0,12.0,,16.0,,,,,
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,,,,,,,36.0,3.0,,77.0,,,,,,,,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,,,,,,,,36.0,2.0,,60.0,3.0,3.0,,3.0,,,,,
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,,,,1.0,1.0,1.0,9.0,9.0,33.0,5.0,,107.0,1.0,21.0,,21.0,1.0,,6.0,,1.0
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,,,,,,,,,16.0,3.0,,41.0,1.0,,,,,,,,
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,1.0,1.0,-3.0,1.0,1.0,,-3.0,-3.0,19.0,3.0,,31.0,2.0,5.0,,6.0,,,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,,,,,,,35.0,5.0,,128.0,,,,,,,,,
FOOTBALL_CFL_2017_10_22_HAM@MTL,2017-10-22,2017,1,CFL,HAM,MTL,,,,,1.0,,,,37.0,6.0,,149.0,1.0,3.0,,3.0,,,,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,,,,,,,36.0,5.0,,107.0,,,,,,,,,
FOOTBALL_CFL_2017_10_9_EDM@MTL,2017-10-09,2017,1,CFL,EDM,MTL,,,,,,,,,27.0,4.0,,82.0,,,,,,,,,
FOOTBALL_CFL_2017_11_3_MTL@HAM,2017-11-03,2017,1,CFL,MTL,HAM,,,,,,,,,27.0,5.0,,97.0,,,,,,,,,
