game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,def_pd,def_tackles,goals,goals_minus_xg,goals_plus_assists,gp,key_passes,kr_no,kr_yds,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,pr_no,pr_yds,recv_rec,recv_yds,rush_att,rush_yds,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-usl1-2020-4wM4Z04qjB,,2020,1,USL1,,,0.0,0.0,16.5595,-5.5831,,,0.0,0.0,0.0,,0.0,,,80.0,0.7391,23.0,-0.5546,-2.4115,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.7632,0.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,,,1.0,8.0,,,,3.0,,11.0,211.0,,,,,,,2.0,17.0,3.0,15.0,3.0,6.0,,,,,,,,
