game_id,date,season,week,league,away,home,def_ff,def_sacks,def_tackles,gp,kr_no,kr_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,2.0,10.0,3.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,3.0,8.0,11.0,1.0,35.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,1.0,3.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,4.0,7.0,,
