game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,def_tackles,goals,goals_minus_xg,goals_plus_assists,gp,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,,,5.0,,,,11.0,,,,,,,,,,,,,,,
soccer-uslc-2023-7VqGLwzQvW,,2023,1,USLC,,,0.0,0.0,20.5597,-5.476,,0.0,0.0,0.0,,0.0,54.0,0.8947,19.0,-0.7522,-3.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9343,0.0
