game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sog,to
NLL_2023_SEASON_TOTAL,,,1,,,,3.0,,,13.0,,,4.0,,3.0,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,1.0,1.0,1.0,,0.0,1.0,,1.0,,1.0,1.0
