game_id,date,season,week,league,away,home,def_pd,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,8.0,6.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,4.0,6.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,6.0,41.0,12.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,7.0,43.0,11.0
