game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_SPIDERS,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_SPIDERS,,,3,AUDL,,,10.0,0.0,,,0.0,0.0,,,,2.0,220.0,616.0
2022-06-17-SEA-OAK,2022-06-17,2022,4,,SEA,OAK,1.0,1.0,,,0.0,1.0,,,,4.0,96.0,190.0
2022-06-25-OAK-SEA,2022-06-25,2022,5,,OAK,SEA,5.0,2.0,,,0.0,2.0,,,,1.0,-12.0,723.0
2022-06-26-OAK-POR,2022-06-26,2022,5,,OAK,POR,2.0,0.0,,,0.0,1.0,,,,0.0,148.0,209.0
2022-07-16-SLC-OAK,2022-07-16,2022,8,AUDL,shred,spiders,7.0,0.0,,,1.0,0.0,,,,3.0,41.0,445.0
2022-07-23-LA-OAK,2022-07-23,2022,9,AUDL,aviators,spiders,4.0,0.0,,,0.0,0.0,,,,1.0,92.0,246.0
2022-07-29-OAK-LA,2022-07-29,2022,10,AUDL,spiders,aviators,5.0,0.0,,,0.0,3.0,,,,3.0,352.0,381.0
2022-07-30-OAK-SD,2022-07-30,2022,10,AUDL,spiders,growlers,1.0,0.0,,,0.0,1.0,,,,5.0,59.0,434.0
2023-06-10-SD-OAK,2023-06-10,2023,7,AUDL,SAN DIEGO GROWLERS,OAKLAND SPIDERS,1.0,,10.0,16.0,,,1.0,1.0,20.0,4.0,21.0,61.0
