game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,5.0,,,4.0,3.0,160.0,12.0,,,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,1.0,4.0,2.5,112.0,9.0,,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,,1.0,5.0,4.5,166.0,12.0,1.0,1.0,3.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,,,5.0,,144.0,12.0,,,,1.0,36.0
