game_id,date,season,week,league,away,home,extra_point,extra_points,field_goal_yards,missed
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,,138.0,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,13.0,
9889295,2023-06-30,2023,4,CFL,EDM,OTT,2.0,,141.0,
9889300,2023-07-08,2023,5,CFL,OTT,HAM,1.0,,56.0,
9889304,2023-07-15,2023,6,CFL,WPG,OTT,,,111.0,
9889309,2023-07-23,2023,7,CFL,OTT,CGY,3.0,,33.0,
9889310,2023-07-28,2023,8,CFL,HAM,OTT,,,159.0,
9889317,2023-08-06,2023,9,CFL,OTT,SSK,2.0,,154.0,1.0
9889321,2023-08-13,2023,10,CFL,OTT,TOR,4.0,,50.0,
9889324,2023-08-19,2023,11,CFL,MTL,OTT,4.0,,39.0,
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,99.0,1.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,4.0,,127.0,
9889342,2023-09-22,2023,16,CFL,SSK,OTT,3.0,,74.0,
9889348,2023-09-30,2023,17,CFL,MTL,OTT,1.0,,,
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,21.0,
9889357,2023-10-14,2023,19,CFL,OTT,TOR,3.0,,15.0,
9889363,2023-10-28,2023,21,CFL,TOR,OTT,1.0,,109.0,
10798143,2024-05-25,2024,2,CFL,OTT,HAM,1.0,,77.0,
10798024,2024-06-20,2024,3,CFL,OTT,MTL,1.0,,60.0,
10798031,2024-06-30,2024,4,CFL,HAM,OTT,,,158.0,
10798033,2024-07-05,2024,5,CFL,OTT,WPG,1.0,,104.0,
10798039,2024-07-14,2024,6,CFL,OTT,EDM,2.0,,139.0,
10798040,2024-07-19,2024,7,CFL,EDM,OTT,1.0,,132.0,
10798045,2024-07-26,2024,8,CFL,CGY,OTT,3.0,,139.0,
10798052,2024-08-08,2024,10,CFL,SSK,OTT,,,137.0,
10798056,2024-08-15,2024,11,CFL,OTT,CGY,3.0,,97.0,
10798062,2024-08-24,2024,12,CFL,BC,OTT,2.0,,78.0,
10798064,2024-08-31,2024,13,CFL,OTT,BC,,,98.0,
10798069,2024-09-07,2024,14,CFL,TOR,OTT,4.0,,132.0,
10798073,2024-09-14,2024,15,CFL,OTT,HAM,1.0,,54.0,
10798077,2024-09-21,2024,16,CFL,MTL,OTT,,,62.0,
10798081,2024-09-28,2024,17,CFL,OTT,SSK,1.0,,116.0,
10798089,2024-10-14,2024,19,CFL,OTT,MTL,,,93.0,
10798091,2024-10-19,2024,20,CFL,OTT,TOR,,,38.0,
10798093,2024-10-25,2024,21,CFL,HAM,OTT,2.0,,155.0,
11824045,2025-06-05,2025,1,CFL,OTT,SSK,2.0,,,
11824050,2025-06-13,2025,2,CFL,MTL,OTT,2.0,,25.0,
11824055,2025-06-21,2025,3,CFL,OTT,CGY,1.0,,116.0,
11824060,2025-06-29,2025,4,CFL,TOR,OTT,1.0,,135.0,
11824064,2025-07-06,2025,5,CFL,OTT,EDM,3.0,,155.0,
11824066,2025-07-12,2025,6,CFL,OTT,HAM,2.0,,55.0,
11824071,2025-07-20,2025,7,CFL,HAM,OTT,,,154.0,
11824076,2025-07-31,2025,9,CFL,CGY,OTT,4.0,,18.0,
11824082,2025-08-09,2025,10,CFL,OTT,TOR,3.0,,35.0,
11824084,2025-08-14,2025,11,CFL,OTT,WPG,3.0,,89.0,
11824089,2025-08-22,2025,12,CFL,EDM,OTT,2.0,,46.0,
11824095,2025-09-05,2025,14,CFL,BC,OTT,2.0,,71.0,
11824100,2025-09-12,2025,15,CFL,OTT,BC,1.0,,71.0,
11824105,2025-09-20,2025,16,CFL,WPG,OTT,,2.0,23.0,2.0
11824111,2025-10-03,2025,18,CFL,SSK,OTT,1.0,,51.0,
11824117,2025-10-13,2025,19,CFL,OTT,MTL,,,40.0,
11824120,2025-10-18,2025,20,CFL,MTL,OTT,2.0,,91.0,
11824122,2025-10-24,2025,21,CFL,OTT,HAM,2.0,,,
