game_id,date,season,week,league,away,home,interceptions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_MICH,,2022,1,USFL,,,0.0,0.0,1.0,193.0,,45.0
SYNTHETIC_USFL_2022_W2_MICH,,2022,2,USFL,,,,,0.0,124.0,,0.0
SYNTHETIC_USFL_2022_W3_MICH,,2022,3,USFL,,,,,0.0,72.0,1.0,24.0
SYNTHETIC_USFL_2022_W4_MICH,,2022,4,USFL,,,,,1.0,67.0,1.0,79.0
SYNTHETIC_USFL_2022_W5_MICH,,2022,5,USFL,,,,1.0,2.0,343.0,0.0,46.0
SYNTHETIC_USFL_2022_W6_MICH,,2022,6,USFL,,,,1.0,1.0,209.0,1.0,5.0
SYNTHETIC_USFL_2022_W7_MICH,,2022,7,USFL,,,,0.0,0.0,185.0,0.0,16.0
SYNTHETIC_USFL_2022_W8_MICH,,2022,8,USFL,,,,2.0,2.0,251.0,1.0,20.0
SYNTHETIC_USFL_2022_W9_MICH,,2022,9,USFL,,,,3.0,3.0,293.0,0.0,18.0
SYNTHETIC_USFL_2022_W10_MICH,,2022,10,USFL,,,,1.0,3.0,275.0,0.0,19.0
