game_id,date,season,week,league,away,home,conversions,dst_touchdown,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_PHI,,,1,USFL,,,,,,,,0.0,74.0,7.0,0.0,
SYNTHETIC_USFL_W3_PHI,,,3,USFL,,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_W4_PHI,,,4,USFL,,,,,,,,0.0,12.0,1.0,,
SYNTHETIC_USFL_W5_PHI,,,5,USFL,,,,,0.0,,,0.0,39.0,4.0,,
SYNTHETIC_USFL_W6_PHI,,,6,USFL,,,,,,,,0.0,8.0,1.0,,
SYNTHETIC_USFL_W7_PHI,,,7,USFL,,,,,,,,0.0,25.0,3.0,,
SYNTHETIC_USFL_W8_PHI,,,8,USFL,,,,,,,,0.0,28.0,2.0,0.0,25.0
SYNTHETIC_USFL_W9_PHI,,,9,USFL,,,,,,,,0.0,2.0,1.0,,
SYNTHETIC_USFL_W10_PHI,,,10,USFL,,,,,,,,1.0,27.0,2.0,,
SYNTHETIC_USFL_W11_PHI,,,11,USFL,,,,,0.0,,,0.0,43.0,1.0,0.0,6.0
SYNTHETIC_USFL_2023_W1_STARS,,2023,1,USFL,,,,,,,,1.0,31.0,3.0,0.0,22.0
SYNTHETIC_USFL_2023_W3_STARS,,2023,3,USFL,,,,,,,,0.0,35.0,3.0,0.0,-2.0
SYNTHETIC_USFL_2023_W4_STARS,,2023,4,USFL,,,,,,,,0.0,17.0,3.0,,
SYNTHETIC_UFL_2024_W1_DEFENDERS,,2024,1,UFL,,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2024_W2_DEFENDERS,,2024,2,UFL,,,,,,,,0.0,55.0,2.0,,
SYNTHETIC_UFL_2024_W3_DEFENDERS,,2024,3,UFL,,,,,,,,1.0,36.0,2.0,,
SYNTHETIC_UFL_2024_W4_DEFENDERS,,2024,4,UFL,,,,,,,,1.0,21.0,2.0,,
SYNTHETIC_UFL_2024_W5_DEFENDERS,,2024,5,UFL,,,,,,,,0.0,10.0,1.0,,
SYNTHETIC_UFL_2024_W6_DEFENDERS,,2024,6,UFL,,,,,,,,0.0,27.0,1.0,,
SYNTHETIC_UFL_2024_W7_DEFENDERS,,2024,7,UFL,,,,,1.0,,,0.0,3.0,1.0,0.0,19.0
SYNTHETIC_UFL_2024_W8_DEFENDERS,,2024,8,UFL,,,,,,,,0.0,34.0,5.0,,
SYNTHETIC_UFL_2024_W9_DEFENDERS,,2024,9,UFL,,,,,,,,1.0,49.0,3.0,0.0,10.0
SYNTHETIC_UFL_2024_W10_DEFENDERS,,2024,10,UFL,,,,1.0,,,,0.0,27.0,3.0,,
SYNTHETIC_UFL_2025_W1_DEFENDERS,,2025,1,UFL,,,,,,,,1.0,40.0,3.0,0.0,8.0
SYNTHETIC_UFL_2025_W2_DEFENDERS,,2025,2,UFL,,,1.0,,,,,0.0,66.0,3.0,,
SYNTHETIC_UFL_2025_W3_DEFENDERS,,2025,3,UFL,,,,,,,,0.0,23.0,2.0,,
SYNTHETIC_UFL_2025_W4_DEFENDERS,,2025,4,UFL,,,,,,,,0.0,62.0,7.0,,
SYNTHETIC_UFL_2025_W5_DEFENDERS,,2025,5,UFL,,,,,,,,1.0,61.0,7.0,0.0,18.0
SYNTHETIC_UFL_2025_W6_DEFENDERS,,2025,6,UFL,,,,,,,,1.0,144.0,9.0,,
SYNTHETIC_UFL_2025_W7_DEFENDERS,,2025,7,UFL,,,,,1.0,,,0.0,7.0,1.0,,
SYNTHETIC_UFL_2025_W8_DEFENDERS,,2025,8,UFL,,,,,1.0,1.0,9.0,0.0,31.0,1.0,0.0,14.0
SYNTHETIC_UFL_2025_W9_DEFENDERS,,2025,9,UFL,,,,,,,,0.0,76.0,7.0,,
SYNTHETIC_UFL_2025_W10_DEFENDERS,,2025,10,UFL,,,,,,,,0.0,13.0,2.0,,
SYNTHETIC_UFL_2026_W1_ORLANDOSTORM,,2026,1,UFL,,,,,,,,1.0,28.0,4.0,0.0,28.0
SYNTHETIC_UFL_2026_W2_ORLANDOSTORM,,2026,2,UFL,,,,,,,,0.0,54.0,8.0,0.0,8.0
SYNTHETIC_UFL_2026_W3_ORLANDOSTORM,,2026,3,UFL,,,,,,,,1.0,113.0,9.0,,
SYNTHETIC_UFL_2026_W4_ORLANDOSTORM,,2026,4,UFL,,,,,,,,0.0,29.0,4.0,0.0,2.0
SYNTHETIC_UFL_2026_W5_ORLANDOSTORM,,2026,5,UFL,,,,,,,,0.0,10.0,2.0,0.0,13.0
