game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,lost_fumbles,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,saves,shots,shots_faced,shots_on_target,targets,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-uslc-2018-9jYQJ7ZMGR,,2018,1,USLC,,,0.0,0.0,34.4907,23.5978,0.0,11.0,1.25,0.0,1.1282,0.0,0.0833,0.0,,392.0,0.8056,144.0,1.3412,0.9314,0.0,,,,,,13.0,0.0,24.0,0.0,,0.0,0.0,9.75,0.0,0.0,0.7962,0.0
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,,,,,,,,,,,,,,,,,,,,0.0,10.0,1.0,,,,,,,1.0,,,,,,,
FOOTBALL_AAF_2019_2_16_ARI@MEM,2019-02-16,2019,2,AAF,ARI,MEM,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,,,,,,,1.0,,,,,,,
FOOTBALL_AAF_2019_2_23_MEM@ORL,2019-02-23,2019,3,AAF,MEM,ORL,,,,,,,,,,,,,,,,,,,,0.0,24.0,4.0,,,,,,,4.0,,,,,,,
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,,,,,,,,,,,,,,,,,,,,0.0,28.0,1.0,,,,,,,3.0,,,,,,,
FOOTBALL_AAF_2019_3_30_ORL@MEM,2019-03-30,2019,8,AAF,ORL,MEM,,,,,,,,,,,,,,,,,,,,0.0,8.0,2.0,,,,,,,3.0,,,,,,,
SYNTHETIC_USFL_2022_W1_HOU,,2022,1,USFL,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W2_TOR,,2022,2,CFL,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W2_HOU,,2022,2,USFL,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W3_HOU,,2022,3,USFL,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W4_HOU,,2022,4,USFL,,,,,,,,,,,,,,,0.0,,,,,,,0.0,17.0,2.0,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W5_HOU,,2022,5,USFL,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W6_TOR,2022-07-16,2022,6,CFL,SSK,TOR,,,,,,,,,,,,,,,,,,,,0.0,24.0,3.0,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W7_HOU,,2022,7,USFL,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,3.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W8_TOR,2022-07-31,2022,8,CFL,OTT,TOR,,,,,,,,,,,,,,,,,,,,1.0,39.0,2.0,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W8_HOU,,2022,8,USFL,,,,,,,,,,,,,,,,,,,,,,0.0,18.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W9_TOR,2022-08-06,2022,9,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,,0.0,15.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W10_TOR,2022-08-12,2022,10,CFL,TOR,HAM,,,,,,,,,,,,,,,,,,,,0.0,27.0,2.0,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W10_HOU,,2022,10,USFL,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W11_TOR,2022-08-20,2022,11,CFL,CGY,TOR,,,,,,,,,,,,,,,,,,,,0.0,19.0,2.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W14_TOR,2022-09-10,2022,14,CFL,TOR,OTT,,,,,,,,,,,,,,,,,,,,0.0,49.0,6.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W16_TOR,2022-09-24,2022,16,CFL,TOR,OTT,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W17_TOR,2022-10-01,2022,17,CFL,TOR,CGY,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W18_TOR,2022-10-08,2022,18,CFL,BC,TOR,,,,,,,,,,,,,,,,,,,,0.0,18.0,3.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W20_TOR,2022-10-22,2022,20,CFL,TOR,MTL,,,,,,,,,,,,,,,,,,,,0.0,23.0,3.0,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W1_GAMBLERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,,,,,,,,,,,,,,,,,,,,0.0,6.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W3_GAMBLERS,2023-04-29,2023,3,USFL,GAMBLERS,SHOWBOATS,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W8_GAMBLERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W10_GAMBLERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,,,,,,,,,,,,,,,,,,,0.0,9.0,1.0,,,,,,,,,,,,,,
