game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,2.0,,,11.0,4.0,,2.0,,6.0,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,11.0,,,18.0,3.0,,12.0,,14.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,15.0,,,18.0,8.0,,7.0,,23.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,7.0,,,18.0,2.0,,8.0,,9.0,,,
703331825,2025-10-29,2025,1,NLL,GEORGIA,BUFFALO,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0
