game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,4.0,8.0,2.0,201.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,15.0,26.0,3.0,330.0
