game_id,date,season,week,league,away,home,completions,pass_attempts,passing_tds,passing_yards,rush_attempts,rushing_yards
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,,,,1.0,5.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,1.0,2.0,,4.0,1.0,11.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,1.0,2.0,,3.0,,
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,9.0,14.0,1.0,39.0,7.0,32.0
