game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_MECHANIX,,,1,AUDL,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,68.0,-18.0
SYNTHETIC_AUDL_W2_MECHANIX,,,2,AUDL,,,0.0,1.0,,,,0.0,0.0,,,,,,0.0,53.0,29.0
SYNTHETIC_AUDL_W3_MECHANIX,,,3,AUDL,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2022-06-18-DET-PIT,2022-06-18,2022,4,,DET,PIT,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2022-07-02-MIN-DET,2022-07-02,2022,6,,MIN,DET,0.0,2.0,,,,0.0,0.0,,,,,,0.0,38.0,50.0
2022-07-09-DET-PIT,2022-07-09,2022,7,,DET,PIT,1.0,0.0,,,,0.0,2.0,,,,,,1.0,323.0,65.0
2022-07-16-MAD-DET,2022-07-16,2022,8,,MAD,DET,0.0,0.0,,,,1.0,4.0,,,,,,1.0,268.0,-26.0
2022-07-30-DET-CHI,2022-07-30,2022,10,,DET,CHI,2.0,1.0,,,,0.0,4.0,,,,,,3.0,517.0,150.0
2022-07-31-DET-MIN,2022-07-31,2022,10,,DET,MIN,0.0,0.0,,,,1.0,2.0,,,,,,0.0,124.0,35.0
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,2.0,1.0,1.0,17.0,13.0,,1.0,1.0,1.0,,,17.0,4.0,123.0,211.0
2023-05-27-MIN-DET,2023-05-27,2023,5,,MIN,DET,1.0,1.0,,24.0,22.0,,1.0,3.0,,,,23.0,1.0,196.0,178.0
2023-06-03-IND-DET,2023-06-03,2023,6,,IND,DET,,1.0,,27.0,25.0,,4.0,2.0,,,,25.0,,196.0,28.0
2023-06-11-DET-PIT,2023-06-11,2023,7,,DET,PIT,2.0,,,29.0,18.0,1.0,7.0,1.0,,1.0,,23.0,5.0,444.0,81.0
2023-06-17-DET-IND,2023-06-17,2023,8,,DET,IND,2.0,1.0,,25.0,21.0,,4.0,4.0,,1.0,,21.0,,404.0,91.0
2023-06-23-DET-CHI,2023-06-23,2023,9,,DET,CHI,5.0,,,31.0,27.0,2.0,2.0,,1.0,,,30.0,3.0,181.0,167.0
2023-06-24-CHI-DET,2023-06-24,2023,9,,CHI,DET,,2.0,,,,,,,,,,,,,
2023-06-30-DET-PIT,2023-06-30,2023,10,,DET,PIT,1.0,1.0,,30.0,27.0,,3.0,4.0,,,,27.0,,248.0,139.0
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,1.0,,,60.0,58.0,,2.0,2.0,,2.0,,59.0,1.0,265.0,18.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,4.0,1.0,,50.0,50.0,,,,2.0,,,51.0,1.0,286.0,278.0
2023-07-23-DET-MIN,2023-07-23,2023,13,,DET,MIN,,,,,,1.0,2.0,2.0,,,1.0,,,,
2024-05-11-DET-IND,2024-05-11,2024,3,,DET,IND,0.0,1.0,,,,0.0,2.0,,,,,,2.0,179.0,26.0
2024-05-18-ATL-IND,2024-05-18,2024,4,,ATL,IND,1.0,1.0,,,,0.0,2.0,,,,,,1.0,171.0,55.0
2024-06-01-CHI-IND,2024-06-01,2024,6,,CHI,IND,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-06-02-IND-PIT,2024-06-02,2024,6,,IND,PIT,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-06-08-MIN-IND,2024-06-08,2024,7,,MIN,IND,0.0,0.0,,,,0.0,1.0,,,,,,0.0,118.0,-26.0
2024-06-15-DET-IND,2024-06-15,2024,8,,DET,IND,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-06-22-IND-CHI,2024-06-22,2024,9,,IND,CHI,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-06-29-MAD-IND,2024-06-29,2024,10,,MAD,IND,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-07-06-IND-COL,2024-07-06,2024,11,,IND,COL,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-07-13-IND-DET,2024-07-13,2024,12,,IND,DET,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-07-14-IND-PIT,2024-07-14,2024,12,,IND,PIT,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-07-19-IND-MAD,2024-07-19,2024,13,,IND,MAD,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
