game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,14.0,62.0,2.0,774.0,1.0,14.0,3.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,14.0,46.0,,595.0,,,
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,5.0,17.0,,175.0,,,
