game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,,,,,,12.0,1.0,3.0,,3.0,12.0,,,,,,,
FOOTBALL_CFL_2017_10_9_EDM@MTL,2017-10-09,2017,1,CFL,EDM,MTL,,,,,,,3.0,8.0,1.0,11.0,51.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,,,,,44.0,4.0,4.0,1.0,2.0,110.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_6_30_MTL@EDM,2017-06-30,2017,1,CFL,MTL,EDM,,,,,,12.0,1.0,4.0,,4.0,12.0,,,,,,,
FOOTBALL_CFL_2017_7_14_OTT@EDM,2017-07-14,2017,1,CFL,OTT,EDM,,,,,,10.0,2.0,4.0,,6.0,18.0,,,,,,,
FOOTBALL_CFL_2017_7_20_EDM@HAM,2017-07-20,2017,1,CFL,EDM,HAM,,,,,,11.0,5.0,8.0,,2.0,38.0,,,,,,,
FOOTBALL_CFL_2017_7_28_BC@EDM,2017-07-28,2017,1,CFL,BC,EDM,,,,,,65.0,4.0,7.0,,19.0,104.0,,,,,,,
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,,,,,,41.0,4.0,7.0,1.0,11.0,110.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,,,,34.0,6.0,8.0,,48.0,101.0,,,,2.0,,4.0,
FOOTBALL_CFL_2017_9_16_EDM@TOR,2017-09-16,2017,1,CFL,EDM,TOR,,,,,,18.0,4.0,8.0,,19.0,38.0,,,,,,,
FOOTBALL_CFL_2017_9_30_WPG@EDM,2017-09-30,2017,1,CFL,WPG,EDM,,,,,,10.0,4.0,7.0,,8.0,32.0,,,,,,,
FOOTBALL_CFL_2017_9_4_EDM@CGY,2017-09-04,2017,1,CFL,EDM,CGY,,,,,,7.0,1.0,4.0,,1.0,7.0,,,,,,,
FOOTBALL_CFL_2017_9_9_CGY@EDM,2017-09-09,2017,1,CFL,CGY,EDM,,,,,,33.0,7.0,11.0,1.0,29.0,82.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,1.0,1.0,,,,16.0,5.0,6.0,,26.0,39.0,,,,,,,
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,,,,47.0,4.0,9.0,,28.0,80.0,,,,,,,
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,,,,30.0,6.0,8.0,,35.0,78.0,,,,,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,,,,20.0,3.0,5.0,1.0,1.0,45.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_6_14_EDM@WPG,2018-06-14,2018,1,CFL,EDM,WPG,,,,,,46.0,4.0,11.0,,7.0,74.0,,,,,,,
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,,,,,4.0,7.0,1.0,49.0,105.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,,,,,6.0,9.0,1.0,26.0,129.0,,,,2.0,1.0,10.0,1.0
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,,,,,,43.0,9.0,17.0,1.0,24.0,123.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,,,,,4.0,7.0,2.0,55.0,116.0,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,,,,,,22.0,8.0,10.0,,33.0,125.0,,,,,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,,,,21.0,7.0,10.0,1.0,4.0,72.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,,,,,,,3.0,5.0,1.0,61.0,116.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,,,,,,24.0,2.0,6.0,,,41.0,,,,,,,
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,,,,,,16.0,4.0,11.0,,11.0,46.0,,,,,,,
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,,,,,,,4.0,10.0,1.0,10.0,65.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_29_WPG@EDM,2018-09-29,2018,1,CFL,WPG,EDM,1.0,1.0,,,,26.0,2.0,4.0,,8.0,37.0,,,,,,,
FOOTBALL_CFL_2018_9_3_EDM@CGY,2018-09-03,2018,1,CFL,EDM,CGY,,,,,,,6.0,8.0,1.0,26.0,116.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_8_CGY@EDM,2018-09-08,2018,1,CFL,CGY,EDM,1.0,1.0,,,,42.0,7.0,9.0,1.0,21.0,172.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,,,,,18.0,3.0,3.0,,16.0,48.0,,1.0,,,,,
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,,,,,,15.0,3.0,7.0,,4.0,29.0,30.0,1.0,30.0,,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,,,,48.0,8.0,12.0,1.0,17.0,146.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,,,,14.0,5.0,5.0,,23.0,55.0,,,,,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,,38.0,3.0,4.0,,16.0,62.0,,1.0,,,,,
FOOTBALL_CFL_2021_12_5_SSK@WPG,2021-12-05,2021,1,CFL,SSK,WPG,,,,,,,4.0,6.0,1.0,52.0,108.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_8_13_BUF@DET,2021-08-13,2021,1,CFL,BUF,DET,,,,,,,,3.0,,,,,,,,,,
FOOTBALL_CFL_2021_8_21_BUF@CHI,2021-08-21,2021,1,CFL,BUF,CHI,,,,,,8.0,1.0,3.0,,4.0,8.0,,,,,,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,56.0,3.0,,,,,,,,,,,,,
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,,,102.0,6.0,,,,,,,,,,,,,
9889292,2023-06-23,2023,3,CFL,MTL,HAM,,,0.0,102.0,5.0,,,,,,,,,,,,,
9889300,2023-07-08,2023,5,CFL,OTT,HAM,,,0.0,43.0,3.0,,,,,,,,,,,,,
9889302,2023-07-13,2023,6,CFL,HAM,EDM,,,0.0,0.0,0.0,,,,,,,,,,,,,
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,,0.0,65.0,6.0,,,,,,,,,,,,,
9889310,2023-07-28,2023,8,CFL,HAM,OTT,,,1.0,54.0,5.0,,,,,,,,,,,,,
9889316,2023-08-05,2023,9,CFL,MTL,HAM,,,0.0,13.0,1.0,,,,,,,,,,,,,
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,0.0,26.0,2.0,,,,,,,,,,,,,
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,0.0,29.0,3.0,,,,,,,,,,,,,
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,0.0,20.0,2.0,,,,,,,,,,,,,
