game_id,date,season,week,league,away,home,rush_attempts,rushing_tds,rushing_yards
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,8.0,1.0,75.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,6.0,,12.0
