game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_W3_SSK,,,3,CFL,,,1.0,,1.0,83.0,,,,,,,
SYNTHETIC_CFL_W8_SSK,,,8,CFL,,,0.0,,0.0,8.0,,,,0.0,0.0,,
SYNTHETIC_CFL_W11_SSK,,,11,CFL,,,1.0,,1.0,210.0,,,,0.0,20.0,,
SYNTHETIC_CFL_W17_SSK,,,17,CFL,,,1.0,,0.0,25.0,,,,,,,
SYNTHETIC_CFL_W20_SSK,,,20,CFL,,,0.0,,1.0,196.0,,,,0.0,15.0,,
SYNTHETIC_CFL_2023_W6_SSK,,2023,6,CFL,,,0.0,,2.0,116.0,,,,0.0,24.0,,
SYNTHETIC_CFL_2023_W7_SSK,,2023,7,CFL,,,2.0,,0.0,284.0,,,,,,,
SYNTHETIC_CFL_2023_W8_SSK,,2023,8,CFL,,,2.0,,0.0,302.0,,,,0.0,4.0,,
SYNTHETIC_CFL_2023_W9_SSK,,2023,9,CFL,,,0.0,0.0,1.0,296.0,0.0,8.0,1.0,0.0,17.0,0.0,1.0
SYNTHETIC_CFL_2023_W10_SSK,,2023,10,CFL,,,0.0,,0.0,20.0,,,,0.0,14.0,,
SYNTHETIC_CFL_2023_W18_SSK,,2023,18,CFL,,,1.0,,0.0,25.0,,,,0.0,2.0,,
