game_id,date,season,week,league,away,home,gp,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,8.0,,,10.0,43.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,11.0,1.0,6.0,9.0,10.0
