game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points
NLL_2019_SEASON_TOTAL,,,1,,,,4.0,10.0,5.0,6.0,9.0
NLL_2021_SEASON_TOTAL,,,1,,,,13.0,17.0,1.0,7.0,14.0
NLL_2022_SEASON_TOTAL,,,1,,,,,2.0,,2.0,
NLL_2023_SEASON_TOTAL,,,1,,,,1.0,11.0,2.0,4.0,3.0
