game_id,date,season,week,league,away,home,assist_tackles,int_long,int_yards,interceptions_made,sacks,solo_tackles,tackles
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,,10.0,10.0,1.0,1.0,5.0,5.0
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,2.0,,,,,3.0,5.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,5.0,,,,,4.0,9.0
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,,22.0,25.0,2.0,,3.0,3.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,1.0,,,,,2.0,3.0
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,,,,1.0
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,,,,2.0
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,,0.0,0.0,,2.0
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,,,0.0,0.0,,2.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,,0.0,0.0,,1.0
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,,0.0,0.0,,4.0
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,,0.0,0.0,,3.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,,0.0,0.0,,2.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,,0.0,0.0,,1.0
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,,0.0,0.0,,1.0
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,,,0.0,0.0,,1.0
