game_id,date,season,week,league,away,home,def_tackles,gp,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,21.0,10.0,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,11.0,1.0
