game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2021_10_15_WPG@EDM,2021-10-15,2021,1,CFL,WPG,EDM,,,,45.0,6.0,4.0,19.0,,234.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,,,,46.0,3.0,2.0,13.0,,106.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_23_BC@WPG,2021-10-23,2021,1,CFL,BC,WPG,,,,61.0,6.0,3.0,2.0,,285.0,,,,,,2.0,,,,,,
FOOTBALL_CFL_2021_10_8_EDM@WPG,2021-10-08,2021,1,CFL,EDM,WPG,,,,50.0,5.0,5.0,32.0,,230.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,,,,51.0,8.0,7.0,68.0,,358.0,,,,,,1.0,,,,,,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,,,54.0,9.0,8.0,96.0,,434.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,,,,50.0,6.0,5.0,20.0,,229.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_12_12_WPG@HAM,2021-12-12,2021,1,CFL,WPG,HAM,,,,70.0,5.0,3.0,9.0,,193.0,,,,,,1.0,,,,,,
FOOTBALL_CFL_2021_12_5_SSK@WPG,2021-12-05,2021,1,CFL,SSK,WPG,,,,36.0,1.0,1.0,9.0,,36.0,1.0,-1.0,-1.0,,,,,,,,,
FOOTBALL_CFL_2021_8_13_TOR@WPG,2021-08-13,2021,1,CFL,TOR,WPG,,,,65.0,4.0,4.0,78.0,,243.0,,,,,,,,,,,,
