game_id,date,season,week,league,away,home,def_ff,def_sacks,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,,5.0,10.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,0.5,10.0,8.0
