game_id,date,season,week,league,away,home,gp,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,7.0,1.0,9.0,3.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,4.0,2.0,14.0,6.0,3.0
