game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_pts,score_r,score_tot
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,,,7.0,2.0,2.0,9.0,11.0,,,,10.0,9.0,,43.0,,,1.0,2.0,,
FOOTBALL_CFL_2019_10_4_EDM@HAM,2019-10-04,2019,1,CFL,EDM,HAM,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,,,,,,2.0,,,,,,3.0,4.0,,6.0,,,,,,
FOOTBALL_CFL_2019_6_22_HAM@TOR,2019-06-22,2019,1,CFL,HAM,TOR,,,,,,,,,,,,8.0,13.0,1.0,32.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_6_28_MTL@HAM,2019-06-28,2019,1,CFL,MTL,HAM,,,,,,,,,,,,2.0,6.0,,12.0,,,,,,
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,,13.0,3.0,3.0,18.0,20.0,,,,14.0,10.0,,61.0,,,,,,
FOOTBALL_CFL_2019_7_26_WPG@HAM,2019-07-26,2019,1,CFL,WPG,HAM,,,,11.0,4.0,6.0,16.0,20.0,,,,9.0,23.0,,45.0,,,1.0,2.0,,
FOOTBALL_CFL_2019_7_4_HAM@MTL,2019-07-04,2019,1,CFL,HAM,MTL,,,,,,1.0,,,,,,2.0,5.0,,6.0,,,,,,
FOOTBALL_CFL_2019_9_27_HAM@WPG,2019-09-27,2019,1,CFL,HAM,WPG,,,,8.0,1.0,3.0,7.0,8.0,,,,1.0,1.0,,1.0,,,,,,
FOOTBALL_CFL_2021_10_11_TOR@HAM,2021-10-11,2021,1,CFL,TOR,HAM,,,,,,,,,,,,7.0,20.0,,59.0,,,,,,
FOOTBALL_CFL_2021_10_23_OTT@HAM,2021-10-23,2021,1,CFL,OTT,HAM,,,,7.0,1.0,1.0,6.0,7.0,,,,3.0,5.0,,9.0,,,,,,
FOOTBALL_CFL_2021_11_12_HAM@TOR,2021-11-12,2021,1,CFL,HAM,TOR,,,,19.0,2.0,2.0,18.0,20.0,,,,2.0,4.0,,7.0,,,,,,
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,,,13.0,4.0,5.0,19.0,25.0,,,,8.0,6.0,,26.0,,,1.0,2.0,,
FOOTBALL_CFL_2021_9_22_HAM@OTT,2021-09-22,2021,1,CFL,HAM,OTT,,,,5.0,1.0,1.0,5.0,5.0,,,,3.0,5.0,,12.0,,,,,,
FOOTBALL_CFL_2022_6_18_CGY@HAM,2022-06-18,2022,1,CFL,CGY,HAM,,,,,,,,,12.0,1.0,12.0,1.0,3.0,,3.0,,,1.0,2.0,,
FOOTBALL_CFL_2022_6_24_HAM@WPG,2022-06-24,2022,1,CFL,HAM,WPG,,,,,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,,,,11.0,2.0,2.0,19.0,21.0,,,,4.0,10.0,,20.0,,,,,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,,,,,,,,,8.0,11.0,,28.0,,,,,,
FOOTBALL_CFL_2022_8_19_EDM@OTT,2022-08-19,2022,1,CFL,EDM,OTT,,,,,,,,,,,,4.0,4.0,,12.0,,,,,,
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,,,,,,1.0,,,,,,2.0,,1.0,10.0,,,,6.0,1.0,1.0
SYNTHETIC_CFL_2022_W3_HAM,,2022,3,CFL,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
6235,2022-07-21,2022,7,CFL,HAM,BC,0.0,21.0,2.0,,,,,,,,,,,,,0.0,20.0,,,,
6244,2022-08-06,2022,9,CFL,HAM,TOR,0.0,0.0,0.0,,,,,,,,,,,,,1.0,10.0,,,,
6247,2022-08-12,2022,10,CFL,TOR,HAM,,,,,,,,,,,,,,,,0.0,28.0,,,,
6252,2022-08-20,2022,11,CFL,HAM,MTL,,,,,,,,,,,,,,,,0.0,12.0,,,,
