game_id,date,season,week,league,away,home,assists,assists_minus_xa,attempts,avg,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,long,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,td,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added,yards
FOOTBALL_XLEAGUE_2022_SEASON_TOTAL,,2022,1,XLEAGUE,,,,,82.0,72.0,,,,,,,,,,,692.0,,,,,,,,,,,58.0,,,,,,,,59.0
soccer-usl1-2025-p6qb32XQ0G,,2025,1,USL1,,,0.0,0.0,,,45.3598,37.4984,0.0,20.0,0.694,0.0,1.0359,0.0,0.0952,0.0,,2483.0,0.5896,709.0,2.6522,0.3741,0.0,42.0,0.0,63.0,0.0,,0.0,0.0,19.306,0.0,0.0,0.5858,0.0,
soccer-usl1-2026-p6qb32XQ0G,,2026,1,USL1,,,0.0,0.0,,,43.8596,35.5287,0.0,5.0,0.3929,0.0,1.0853,0.0,0.1875,0.0,,516.0,0.5965,114.0,-4.9826,-4.3707,0.0,11.0,0.0,16.0,0.0,,0.0,0.0,4.6071,0.0,0.0,0.6402,0.0,
