game_id,date,season,week,league,away,home,kick_returns,kr_long,kr_tds,kr_yards,receiving_yards,receptions,rush_attempts,rushing_yards,targets
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,1.0,16.0,,16.0,8.0,1.0,2.0,13.0,
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,3.0,25.0,,70.0,,,,,
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,3.0,19.0,,50.0,,,,,
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,3.0,22.0,,60.0,,,,,
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,7.0,97.0,1.0,235.0,23.0,1.0,2.0,6.0,1.0
