game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_goals,sh_goals,sog,to
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,7.0,,,13.0,7.0,,,,14.0,1.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,11.0,,,13.0,2.0,,4.0,,13.0,,,,
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0
