game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,5.0,2.0,34.0,,,42.0,3.0,172.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,4.0,7.0,,,6.0,26.0,59.0,2.0,336.0
