game_id,date,season,week,league,away,home,interceptions_made,sacks,tackles
9889324,2023-08-19,2023,11,CFL,MTL,OTT,0.0,1.0,3.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,0.0,1.0,7.0
9889330,2023-09-02,2023,13,CFL,BC,MTL,0.0,0.0,1.0
9889335,2023-09-09,2023,14,CFL,MTL,TOR,0.0,0.0,4.0
9889338,2023-09-15,2023,15,CFL,TOR,MTL,0.0,0.0,1.0
9889344,2023-09-23,2023,16,CFL,MTL,CGY,0.0,0.0,1.0
9889348,2023-09-30,2023,17,CFL,MTL,OTT,0.0,0.0,1.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,0.0,1.0,3.0
9889356,2023-10-14,2023,19,CFL,MTL,EDM,0.0,2.0,4.0
9889362,2023-10-28,2023,21,CFL,HAM,MTL,0.0,0.0,3.0
10798016,2024-06-06,2024,1,CFL,MTL,WPG,0.0,0.0,3.0
