game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105140LAS,2021-05-14,2021,1,WNBA,DAL,LAS,2.0,,2.0,0.6,5.0,3.0,0.5,8.0,4.0,1.0,,,,,19.35,1.0,7.0,11.0,3.0,1.0,4.0
WNBA_202105220DAL,2021-05-22,2021,1,WNBA,SEA,DAL,5.0,1.0,5.0,0.429,14.0,6.0,0.556,18.0,10.0,4.0,,,,,41.2,3.0,-4.0,26.0,8.0,1.0,5.0
WNBA_202105240NYL,2021-05-24,2021,1,WNBA,DAL,NYL,5.0,,4.0,0.5,8.0,4.0,0.5,16.0,8.0,4.0,1.0,1.0,1.0,,37.38333333333333,3.0,-6.0,21.0,7.0,2.0,1.0
WNBA_202105270ATL,2021-05-27,2021,1,WNBA,DAL,ATL,2.0,1.0,4.0,0.667,3.0,2.0,0.667,12.0,8.0,6.0,1.0,6.0,6.0,,29.716666666666665,1.0,-10.0,24.0,5.0,2.0,3.0
WNBA_202105290DAL,2021-05-29,2021,1,WNBA,PHO,DAL,2.0,,8.0,0.571,7.0,4.0,0.444,18.0,8.0,3.0,0.8,5.0,4.0,,36.85,,-1.0,24.0,8.0,3.0,3.0
WNBA_202106010DAL,2021-06-01,2021,1,WNBA,LAS,DAL,6.0,,6.0,0.25,8.0,2.0,0.286,14.0,4.0,2.0,,,,,26.383333333333333,1.0,-1.0,10.0,7.0,,4.0
WNBA_202106040SEA,2021-06-04,2021,1,WNBA,DAL,SEA,3.0,,4.0,0.5,8.0,4.0,0.588,17.0,10.0,1.0,,,,,39.05,,-7.0,24.0,4.0,2.0,2.0
WNBA_202106060SEA,2021-06-06,2021,1,WNBA,DAL,SEA,2.0,1.0,6.0,0.333,3.0,1.0,0.583,12.0,7.0,2.0,,,,,29.1,1.0,18.0,15.0,7.0,2.0,4.0
WNBA_202106080PHO,2021-06-08,2021,1,WNBA,DAL,PHO,5.0,,5.0,0.143,7.0,1.0,0.353,17.0,6.0,4.0,0.5,2.0,1.0,,25.45,1.0,7.0,14.0,6.0,,3.0
WNBA_202106110PHO,2021-06-11,2021,1,WNBA,DAL,PHO,,1.0,4.0,0.25,4.0,1.0,0.375,8.0,3.0,1.0,,,,,16.266666666666666,,12.0,7.0,4.0,,2.0
WNBA_202106130LVA,2021-06-13,2021,1,WNBA,DAL,LVA,3.0,,3.0,0.143,7.0,1.0,0.214,14.0,3.0,4.0,0.75,4.0,3.0,,27.883333333333333,1.0,-5.0,10.0,4.0,3.0,
WNBA_202106170DAL,2021-06-17,2021,1,WNBA,MIN,DAL,,1.0,,,4.0,,,8.0,,2.0,,,,,17.466666666666665,,1.0,,,2.0,2.0
WNBA_202106190DAL,2021-06-19,2021,1,WNBA,MIN,DAL,2.0,,4.0,0.625,8.0,5.0,0.692,13.0,9.0,4.0,1.0,5.0,5.0,,17.633333333333333,,5.0,28.0,4.0,1.0,3.0
WNBA_202106220CON,2021-06-22,2021,1,WNBA,DAL,CON,4.0,,5.0,,2.0,,,3.0,,1.0,1.0,2.0,2.0,,24.316666666666666,,-1.0,2.0,5.0,,2.0
WNBA_202106240IND,2021-06-24,2021,1,WNBA,DAL,IND,1.0,1.0,1.0,0.333,6.0,2.0,0.429,14.0,6.0,1.0,,,,,13.966666666666667,,19.0,14.0,1.0,,
WNBA_202106260DAL,2021-06-26,2021,1,WNBA,WAS,DAL,3.0,,2.0,0.143,7.0,1.0,0.273,11.0,3.0,2.0,,,,,18.633333333333333,1.0,7.0,7.0,3.0,,
WNBA_202106300DAL,2021-06-30,2021,1,WNBA,CHI,DAL,4.0,1.0,4.0,,5.0,,0.125,8.0,1.0,1.0,,,,,21.883333333333333,1.0,-1.0,2.0,5.0,,1.0
WNBA_202107020DAL,2021-07-02,2021,1,WNBA,CHI,DAL,5.0,,3.0,0.625,8.0,5.0,0.6,15.0,9.0,3.0,0.833,6.0,5.0,,27.683333333333334,,11.0,28.0,3.0,1.0,3.0
WNBA_202107050NYL,2021-07-05,2021,1,WNBA,DAL,NYL,5.0,,5.0,0.333,3.0,1.0,0.5,14.0,7.0,1.0,,,,,29.883333333333333,2.0,4.0,15.0,7.0,3.0,2.0
WNBA_202107070MIN,2021-07-07,2021,1,WNBA,DAL,MIN,1.0,1.0,3.0,0.333,3.0,1.0,0.5,8.0,4.0,1.0,,,,,22.433333333333334,,2.0,9.0,3.0,1.0,2.0
WNBA_202107110DAL,2021-07-11,2021,1,WNBA,LVA,DAL,,,,,1.0,,,4.0,,1.0,,,,,10.466666666666667,,-7.0,,,1.0,
WNBA_202108150DAL,2021-08-15,2021,1,WNBA,CON,DAL,1.0,,3.0,0.25,8.0,2.0,0.25,12.0,3.0,2.0,,,,,21.533333333333335,,-17.0,8.0,3.0,,5.0
WNBA_202108170CHI,2021-08-17,2021,1,WNBA,DAL,CHI,4.0,,2.0,,,,0.25,8.0,2.0,3.0,0.5,2.0,1.0,,15.083333333333334,1.0,-5.0,5.0,3.0,1.0,
