game_id,date,season,week,league,away,home,fielding_catches,fielding_runouts,match_played
cricket-lpl-2023-07-31-1382879,2023-07-31,2023,1,LPL,Galle Titans,Dambulla Aura,1.0,,1.0
cricket-lpl-2024-07-03-1428463,2024-07-03,2024,1,LPL,Galle Marvels,Colombo Strikers,,1.0,1.0
