game_id,date,season,week,league,away,home,completion_pct,interceptions,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_tds,passing_yards,passing_yds_lost
SYNTHETIC_50YARD_2026_W3_WASHINGTONWOLFPACK,2026-05-16,2026,3,50YARD,WASHINGTON WOLFPACK,OREGON LIGHTNING,,,,,,,,,,,2.0,69.0,
FOOTBALL_AF1_2026_5_16_T584641G1168222@T584638,2026-05-17,2026,6,AF1,Washington Wolfpack,Oregon Lightning,750.0,0.0,4.0,3.0,39.0,23.0,0.0,156.0,0.0,2.0,,69.0,0.0
