game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,turnovers
WNBA_202205080MIN,2022-05-08,2022,1,WNBA,WAS,MIN,1.0,,,,,,,,,,,,,2.0833333333333335,,3.0,,,
WNBA_202205100WAS,2022-05-10,2022,1,WNBA,LVA,WAS,,1.0,1.0,0.75,4.0,3.0,0.6,5.0,3.0,4.0,0.75,4.0,3.0,15.2,1.0,5.0,12.0,2.0,1.0
WNBA_202205130WAS,2022-05-13,2022,1,WNBA,DAL,WAS,,,,0.667,3.0,2.0,0.5,4.0,2.0,3.0,,,,9.55,,-10.0,6.0,,1.0
