game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_yds,rush_att,rush_lg,rush_yds
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,6.0,2.0,3.0,2.0,3.0,5.0,5.0,3.0,6.0,15.0
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,1.0,1.0,,,,,,,,1.0,5.0,5.0
