game_id,date,season,week,league,away,home,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,solo_tackles,tackles
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,1.0,,,,,,,,,,,,,,,,0.0,1.0
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,,,,,,,,,,,9.0,0.0,0.0,0.0,45.0,5.0,,
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,,,,,,,,,,,4.0,10.0,0.0,1.0,23.0,6.0,,
FOOTBALL_IFL_2026_6_13_TQUADCITYSTEAMWHEELERSG20260613M6TV@TIOWABARNSTORMERS,2026-06-13,2026,14,IFL,Quad City Steamwheelers,Iowa Barnstormers,,1.0,18.0,1.0,3.0,32.0,0.0,0.0,64.0,2.0,,,,,,,,
FOOTBALL_IFL_2026_6_20_TIOWABARNSTORMERSG20260620EY76@TFISHERSFREIGHT,2026-06-20,2026,15,IFL,Iowa Barnstormers,Fishers Freight,,,,,,49.0,0.0,0.0,49.0,1.0,,,,,,,,
