game_id,date,season,week,league,away,home,assists,blocks,goals,o_points,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,2.0,2.0,2.0,,4.0,6.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,,,,3.0,2.0,
