game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp,rush_att
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,29.0,11.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,4.0,12.0,1.0
